program -1 -1 1
Primo? -55 -2 1
; -75 -1 1
var -15 -1 2
real -12 -1 4
: -77 -1 4
x% -52 -2 4
, -76 -1 4
raiz% -52 -2 4
, -76 -1 4
suposicion% -52 -2 4
, -76 -1 4
abs_suposicion% -52 -2 4
, -76 -1 4
i% -52 -2 4
; -75 -1 4
bool -14 -1 5
: -77 -1 5
siRaiz$ -54 -2 5
, -76 -1 5
primo$ -54 -2 5
; -75 -1 5
string -13 -1 6
: -77 -1 6
siPrimo# -53 -2 6
, -76 -1 6
noPrimo# -53 -2 6
; -75 -1 6
begin -2 -1 8
write -5 -1 10
( -73 -1 10
"Escribe el numero a verificar si es primo o no: \n" -63 -1 10
) -74 -1 10
; -75 -1 10
read -4 -1 11
( -73 -1 11
x% -52 -2 11
) -74 -1 11
; -75 -1 11
if -6 -1 14
( -73 -1 14
x% -52 -2 14
< -31 -1 14
0.0 -62 -1 14
) -74 -1 14
then -16 -1 14
begin -2 -1 15
siRaiz$ -54 -2 16
:= -26 -1 16
false -65 -1 16
; -75 -1 16
end -3 -1 17
else -7 -1 18
begin -2 -1 19
if -6 -1 20
( -73 -1 20
x% -52 -2 20
== -35 -1 20
0.0 -62 -1 20
) -74 -1 20
then -16 -1 20
begin -2 -1 21
raiz% -52 -2 22
:= -26 -1 22
0.0 -62 -1 22
; -75 -1 22
end -3 -1 23
suposicion% -52 -2 24
:= -26 -1 24
x% -52 -2 24
/ -22 -1 24
2.0 -62 -1 24
; -75 -1 24
abs_suposicion% -52 -2 25
:= -26 -1 25
suposicion% -52 -2 25
* -21 -1 25
suposicion% -52 -2 25
- -25 -1 25
x% -52 -2 25
; -75 -1 25
if -6 -1 26
( -73 -1 26
abs_suposicion% -52 -2 26
< -31 -1 26
0.0 -62 -1 26
) -74 -1 26
then -16 -1 26
begin -2 -1 27
abs_suposicion% -52 -2 28
:= -26 -1 28
abs_suposicion% -52 -2 28
* -21 -1 28
-0.1 -62 -1 28
; -75 -1 28
end -3 -1 29
while -8 -1 30
( -73 -1 30
abs_suposicion% -52 -2 30
> -33 -1 30
0.00000001 -62 -1 30
) -74 -1 30
do -17 -1 30
begin -2 -1 31
suposicion% -52 -2 32
:= -26 -1 32
( -73 -1 32
suposicion% -52 -2 32
+ -24 -1 32
x% -52 -2 32
/ -22 -1 32
suposicion% -52 -2 32
) -74 -1 32
/ -22 -1 32
2.0 -62 -1 32
; -75 -1 32
end -3 -1 33
end -3 -1 34
if -6 -1 39
( -73 -1 39
x% -52 -2 39
<= -32 -1 39
1.0 -62 -1 39
) -74 -1 39
then -16 -1 39
begin -2 -1 40
primo$ -54 -2 41
:= -26 -1 41
false -65 -1 41
; -75 -1 41
end -3 -1 42
if -6 -1 43
( -73 -1 43
x% -52 -2 43
== -35 -1 43
2.0 -62 -1 43
) -74 -1 43
then -16 -1 43
begin -2 -1 44
primo$ -54 -2 45
:= -26 -1 45
true -64 -1 45
; -75 -1 45
end -3 -1 46
while -8 -1 47
( -73 -1 47
i% -52 -2 47
<= -32 -1 47
suposicion% -52 -2 47
) -74 -1 47
do -17 -1 47
begin -2 -1 48
if -6 -1 49
( -73 -1 49
x% -52 -2 49
== -35 -1 49
0.0 -62 -1 49
) -74 -1 49
then -16 -1 49
begin -2 -1 50
primo$ -54 -2 51
:= -26 -1 51
false -65 -1 51
; -75 -1 51
end -3 -1 52
else -7 -1 53
begin -2 -1 54
primo$ -54 -2 55
:= -26 -1 55
true -64 -1 55
; -75 -1 55
end -3 -1 56
i% -52 -2 57
:= -26 -1 57
i% -52 -2 57
+ -24 -1 57
1.0 -62 -1 57
; -75 -1 57
end -3 -1 58
siPrimo# -53 -2 60
:= -26 -1 60
"Si es primo" -63 -1 60
; -75 -1 60
noPrimo# -53 -2 61
:= -26 -1 61
"No es primo" -63 -1 61
; -75 -1 61
if -6 -1 63
( -73 -1 63
primo$ -54 -2 63
== -35 -1 63
true -64 -1 63
) -74 -1 63
then -16 -1 63
begin -2 -1 64
write -5 -1 65
( -73 -1 65
siPrimo# -53 -2 65
) -74 -1 65
; -75 -1 65
end -3 -1 66
else -7 -1 67
begin -2 -1 68
write -5 -1 69
( -73 -1 69
noPrimo# -53 -2 69
) -74 -1 69
; -75 -1 69
end -3 -1 70
end -3 -1 72
